TIPO DE RESIDUO,TONELADAS,MES,ANO
ALIM VENCIDOS,0.0,jan,2015
ANIMAIS,12.08,jan,2015
DIVERSOS,29830.71,jan,2015
DIVERSOS-EMAE,,jan,2015
DOMICILIAR,335743.47,jan,2015
ENTULHO APREENDIDO,8.19,jan,2015
ENTULHO MANUAL,4066.48,jan,2015
ENTULHO MECANIZADO,52555.11,jan,2015
ESGOTO,14866.12,jan,2015
FEIRA LIVRE,8478.44,jan,2015
GG SAUDE,2711.9,jan,2015
PG SAUDE,522.95,jan,2015
PODA,4342.52,jan,2015
REJEITO-CMT CAROLINA MARIA DE JESUS,1060.11,jan,2015
RESIDUOS DE BOCA DE LOBO,760.71,jan,2015
RESIDUOS DE CORREGOS,11469.12,jan,2015
RESIDUOS DE PISCINAO,14974.53,jan,2015
SELETIVA,7023.55,jan,2015
VARRICAO,9498.87,jan,2015
VARRICAO MECANIZADA,8.58,jan,2015
ALIM VENCIDOS,0.0,fev,2015
ANIMAIS,4.57,fev,2015
DIVERSOS,27443.26,fev,2015
DIVERSOS-EMAE,,fev,2015
DOMICILIAR,299185.2,fev,2015
ENTULHO APREENDIDO,35.22,fev,2015
ENTULHO MANUAL,3508.05,fev,2015
ENTULHO MECANIZADO,48898.21,fev,2015
ESGOTO,12954.64,fev,2015
FEIRA LIVRE,6577.81,fev,2015
GG SAUDE,2530.42,fev,2015
PG SAUDE,510.37,fev,2015
PODA,4306.16,fev,2015
REJEITO-CMT CAROLINA MARIA DE JESUS,1405.1,fev,2015
RESIDUOS DE BOCA DE LOBO,668.93,fev,2015
RESIDUOS DE CORREGOS,9787.84,fev,2015
RESIDUOS DE PISCINAO,12619.32,fev,2015
SELETIVA,6243.66,fev,2015
VARRICAO,9389.81,fev,2015
VARRICAO MECANIZADA,0.0,fev,2015
ALIM VENCIDOS,0.0,mar,2015
ANIMAIS,10.19,mar,2015
DIVERSOS,30535.95,mar,2015
DIVERSOS-EMAE,,mar,2015
DOMICILIAR,334651.22,mar,2015
ENTULHO APREENDIDO,10.82,mar,2015
ENTULHO MANUAL,3870.82,mar,2015
ENTULHO MECANIZADO,60165.84,mar,2015
ESGOTO,13942.35,mar,2015
FEIRA LIVRE,8705.74,mar,2015
GG SAUDE,2980.63,mar,2015
PG SAUDE,635.16,mar,2015
PODA,5621.75,mar,2015
REJEITO-CMT CAROLINA MARIA DE JESUS,1163.04,mar,2015
RESIDUOS DE BOCA DE LOBO,756.45,mar,2015
RESIDUOS DE CORREGOS,14248.17,mar,2015
RESIDUOS DE PISCINAO,17322.2,mar,2015
SELETIVA,6981.3,mar,2015
VARRICAO,9830.64,mar,2015
VARRICAO MECANIZADA,0.0,mar,2015
ALIM VENCIDOS,0.0,abr,2015
ANIMAIS,9.59,abr,2015
DIVERSOS,27981.54,abr,2015
DIVERSOS-EMAE,,abr,2015
DOMICILIAR,307276.25,abr,2015
ENTULHO APREENDIDO,24.23,abr,2015
ENTULHO MANUAL,4105.75,abr,2015
ENTULHO MECANIZADO,55874.1,abr,2015
ESGOTO,14289.63,abr,2015
FEIRA LIVRE,5606.72,abr,2015
GG SAUDE,2890.41,abr,2015
PG SAUDE,593.68,abr,2015
PODA,4141.55,abr,2015
REJEITO-CMT CAROLINA MARIA DE JESUS,1246.09,abr,2015
RESIDUOS DE BOCA DE LOBO,789.92,abr,2015
RESIDUOS DE CORREGOS,11965.75,abr,2015
RESIDUOS DE PISCINAO,17421.91,abr,2015
SELETIVA,6937.46,abr,2015
VARRICAO,11025.09,abr,2015
VARRICAO MECANIZADA,0.0,abr,2015
ALIM VENCIDOS,0.0,mai,2015
ANIMAIS,8.84,mai,2015
DIVERSOS,28241.24,mai,2015
DIVERSOS-EMAE,,mai,2015
DOMICILIAR,302429.84,mai,2015
ENTULHO APREENDIDO,0.0,mai,2015
ENTULHO MANUAL,3813.26,mai,2015
ENTULHO MECANIZADO,57734.08,mai,2015
ESGOTO,14342.79,mai,2015
FEIRA LIVRE,7774.4,mai,2015
GG SAUDE,2952.73,mai,2015
PG SAUDE,626.45,mai,2015
PODA,4047.9,mai,2015
REJEITO-CMT CAROLINA MARIA DE JESUS,1077.63,mai,2015
RESIDUOS DE BOCA DE LOBO,793.77,mai,2015
RESIDUOS DE CORREGOS,12724.28,mai,2015
RESIDUOS DE PISCINAO,13391.02,mai,2015
SELETIVA,7013.6,mai,2015
VARRICAO,9289.43,mai,2015
VARRICAO MECANIZADA,0.0,mai,2015
ALIM VENCIDOS,0.0,jun,2015
ANIMAIS,8.36,jun,2015
DIVERSOS,25016.21,jun,2015
DIVERSOS-EMAE,,jun,2015
DOMICILIAR,307319.75,jun,2015
ENTULHO APREENDIDO,0.0,jun,2015
ENTULHO MANUAL,3905.43,jun,2015
ENTULHO MECANIZADO,57744.41,jun,2015
ESGOTO,12520.4,jun,2015
FEIRA LIVRE,7621.02,jun,2015
GG SAUDE,2867.8,jun,2015
PG SAUDE,587.95,jun,2015
PODA,3449.47,jun,2015
REJEITO-CMT CAROLINA MARIA DE JESUS,1112.68,jun,2015
RESIDUOS DE BOCA DE LOBO,773.93,jun,2015
RESIDUOS DE CORREGOS,12496.86,jun,2015
RESIDUOS DE PISCINAO,15315.64,jun,2015
SELETIVA,7201.8,jun,2015
VARRICAO,9723.65,jun,2015
VARRICAO MECANIZADA,0.0,jun,2015
ALIM VENCIDOS,0.0,jul,2015
ANIMAIS,8.29,jul,2015
DIVERSOS,26193.81,jul,2015
DIVERSOS-EMAE,,jul,2015
DOMICILIAR,306207.65,jul,2015
ENTULHO APREENDIDO,0.0,jul,2015
ENTULHO MANUAL,4154.26,jul,2015
ENTULHO MECANIZADO,60284.09,jul,2015
ESGOTO,12485.92,jul,2015
FEIRA LIVRE,7628.68,jul,2015
GG SAUDE,2910.45,jul,2015
PG SAUDE,609.98,jul,2015
PODA,3609.68,jul,2015
REJEITO-CMT CAROLINA MARIA DE JESUS,1219.62,jul,2015
RESIDUOS DE BOCA DE LOBO,852.81,jul,2015
RESIDUOS DE CORREGOS,12669.05,jul,2015
RESIDUOS DE PISCINAO,13594.37,jul,2015
SELETIVA,7521.28,jul,2015
VARRICAO,9470.24,jul,2015
VARRICAO MECANIZADA,5.2,jul,2015
ALIM VENCIDOS,0.0,ago,2015
ANIMAIS,6.44,ago,2015
DIVERSOS,27968.13,ago,2015
DIVERSOS-EMAE,,ago,2015
DOMICILIAR,304826.1,ago,2015
ENTULHO APREENDIDO,0.0,ago,2015
ENTULHO MANUAL,4231.96,ago,2015
ENTULHO MECANIZADO,55845.66,ago,2015
ESGOTO,14380.06,ago,2015
FEIRA LIVRE,7817.13,ago,2015
GG SAUDE,2841.68,ago,2015
PG SAUDE,607.81,ago,2015
PODA,3090.86,ago,2015
REJEITO-CMT CAROLINA MARIA DE JESUS,1038.67,ago,2015
RESIDUOS DE BOCA DE LOBO,936.82,ago,2015
RESIDUOS DE CORREGOS,11565.1,ago,2015
RESIDUOS DE PISCINAO,15463.03,ago,2015
SELETIVA,7074.65,ago,2015
VARRICAO,9788.38,ago,2015
VARRICAO MECANIZADA,0.0,ago,2015
ALIM VENCIDOS,0.0,set,2015
ANIMAIS,10.68,set,2015
DIVERSOS,27313.92,set,2015
DIVERSOS-EMAE,,set,2015
DOMICILIAR,310902.76,set,2015
