TIPO DE RESIDUO,TONELADAS,MES,ANO
ALIM VENCIDOS,1.37,jan,2017
ANIMAIS,2.87,jan,2017
DIVERSOS,18855.02,jan,2017
DOMICILIAR,318691.59,jan,2017
ENTULHO APREENDIDO,0.0,jan,2017
ENTULHO MANUAL,4817.97,jan,2017
ENTULHO MECANIZADO,24349.49,jan,2017
ESGOTO,14771.06,jan,2017
FEIRA LIVRE,6852.35,jan,2017
GG SAUDE,2691.43,jan,2017
PG SAUDE,555.03,jan,2017
PODA,3597.54,jan,2017
REJEITO,0.0,jan,2017
REJEITO-CMT CMJ,1191.64,jan,2017
RESIDUOS DE BOCA DE LOBO,818.7,jan,2017
RESIDUOS DE CORREGOS,9253.45,jan,2017
RESIDUOS DE ECOPONTO,26459.22,jan,2017
RESIDUOS DE PISCINAO,13010.15,jan,2017
SELETIVA,8097.71,jan,2017
VARRICAO,7732.0,jan,2017
VARRICAO MECANIZADA,0.0,jan,2017
ALIM VENCIDOS,0.0,fev,2017
ANIMAIS,1.91,fev,2017
DIVERSOS,17572.45,fev,2017
DOMICILIAR,286865.31,fev,2017
ENTULHO APREENDIDO,0.0,fev,2017
ENTULHO MANUAL,5013.37,fev,2017
ENTULHO MECANIZADO,27260.35,fev,2017
ESGOTO,12586.39,fev,2017
FEIRA LIVRE,6351.45,fev,2017
GG SAUDE,2586.19,fev,2017
PG SAUDE,586.88,fev,2017
PODA,2931.32,fev,2017
REJEITO,0.0,fev,2017
REJEITO-CMT CMJ,940.14,fev,2017
RESIDUOS DE BOCA DE LOBO,772.5,fev,2017
RESIDUOS DE CORREGOS,9018.01,fev,2017
RESIDUOS DE ECOPONTO,27100.99,fev,2017
RESIDUOS DE PISCINAO,8253.15,fev,2017
SELETIVA,6968.74,fev,2017
VARRICAO,7506.87,fev,2017
VARRICAO MECANIZADA,0.0,fev,2017
ALIM VENCIDOS,0.0,mar,2017
ANIMAIS,2.48,mar,2017
DIVERSOS,20837.57,mar,2017
DOMICILIAR,315652.06,mar,2017
ENTULHO APREENDIDO,0.0,mar,2017
ENTULHO MANUAL,5445.18,mar,2017
ENTULHO MECANIZADO,31922.53,mar,2017
ESGOTO,15395.58,mar,2017
FEIRA LIVRE,7165.82,mar,2017
GG SAUDE,2958.74,mar,2017
PG SAUDE,667.16,mar,2017
PODA,4053.63,mar,2017
REJEITO,0.0,mar,2017
REJEITO-CMT CMJ,981.54,mar,2017
RESIDUOS DE BOCA DE LOBO,1100.28,mar,2017
RESIDUOS DE CORREGOS,12620.16,mar,2017
RESIDUOS DE ECOPONTO,32445.62,mar,2017
RESIDUOS DE PISCINAO,10046.88,mar,2017
SELETIVA,7537.98,mar,2017
VARRICAO,7787.35,mar,2017
VARRICAO MECANIZADA,0.0,mar,2017
ALIM VENCIDOS,0.0,abr,2017
ANIMAIS,1.76,abr,2017
DIVERSOS,18557.36,abr,2017
DOMICILIAR,283021.19,abr,2017
ENTULHO APREENDIDO,0.0,abr,2017
ENTULHO MANUAL,3307.39,abr,2017
ENTULHO MECANIZADO,28697.93,abr,2017
ESGOTO,16460.74,abr,2017
FEIRA LIVRE,6767.72,abr,2017
GG SAUDE,2730.2,abr,2017
PG SAUDE,584.31,abr,2017
PODA,2790.83,abr,2017
REJEITO,0.0,abr,2017
REJEITO-CMT CMJ,924.86,abr,2017
RESIDUOS DE BOCA DE LOBO,766.75,abr,2017
RESIDUOS DE CORREGOS,8876.0,abr,2017
RESIDUOS DE ECOPONTO,26949.45,abr,2017
RESIDUOS DE PISCINAO,5971.21,abr,2017
SELETIVA,6575.36,abr,2017
VARRICAO,6965.81,abr,2017
VARRICAO MECANIZADA,0.0,abr,2017
ALIM VENCIDOS,0.0,mai,2017
ANIMAIS,5.09,mai,2017
DIVERSOS,20666.48,mai,2017
DOMICILIAR,319647.63,mai,2017
ENTULHO APREENDIDO,0.0,mai,2017
ENTULHO MANUAL,4036.36,mai,2017
ENTULHO MECANIZADO,40178.34,mai,2017
ESGOTO,18959.14,mai,2017
FEIRA LIVRE,6751.04,mai,2017
GG SAUDE,3002.94,mai,2017
PG SAUDE,745.62,mai,2017
PODA,3269.66,mai,2017
REJEITO,0.0,mai,2017
REJEITO-CMT CMJ,1192.27,mai,2017
RESIDUOS DE BOCA DE LOBO,937.63,mai,2017
RESIDUOS DE CORREGOS,9818.1,mai,2017
RESIDUOS DE ECOPONTO,30856.59,mai,2017
RESIDUOS DE PISCINAO,14597.97,mai,2017
SELETIVA,7416.57,mai,2017
VARRICAO,7929.92,mai,2017
VARRICAO MECANIZADA,8.82,mai,2017
ALIM VENCIDOS,0.0,jun,2017
ANIMAIS,3.81,jun,2017
DIVERSOS,19949.46,jun,2017
DOMICILIAR,300183.54,jun,2017
ENTULHO APREENDIDO,25.37,jun,2017
ENTULHO MANUAL,4500.42,jun,2017
ENTULHO MECANIZADO,41953.02,jun,2017
ESGOTO,17911.05,jun,2017
FEIRA LIVRE,6661.99,jun,2017
GG SAUDE,2897.23,jun,2017
PG SAUDE,665.34,jun,2017
PODA,2847.99,jun,2017
REJEITO,0.0,jun,2017
REJEITO-CMT CMJ,1123.23,jun,2017
RESIDUOS DE BOCA DE LOBO,1165.89,jun,2017
RESIDUOS DE CORREGOS,7661.18,jun,2017
RESIDUOS DE ECOPONTO,30236.43,jun,2017
RESIDUOS DE PISCINAO,14030.05,jun,2017
SELETIVA,6929.77,jun,2017
VARRICAO,7496.26,jun,2017
VARRICAO MECANIZADA,0.0,jun,2017
ALIM VENCIDOS,0.0,jul,2017
ANIMAIS,1.86,jul,2017
DIVERSOS,20227.89,jul,2017
DOMICILIAR,292945.52,jul,2017
ENTULHO APREENDIDO,8.74,jul,2017
ENTULHO MANUAL,5196.89,jul,2017
ENTULHO MECANIZADO,46628.0,jul,2017
ESGOTO,17286.0,jul,2017
FEIRA LIVRE,6669.54,jul,2017
GG SAUDE,2902.53,jul,2017
PG SAUDE,675.39,jul,2017
PODA,2782.76,jul,2017
REJEITO,0.0,jul,2017
REJEITO-CMT CMJ,1030.47,jul,2017
RESIDUOS DE BOCA DE LOBO,1426.1,jul,2017
RESIDUOS DE CORREGOS,7357.6,jul,2017
RESIDUOS DE ECOPONTO,31914.64,jul,2017
RESIDUOS DE PISCINAO,12467.51,jul,2017
SELETIVA,6825.52,jul,2017
VARRICAO,7158.59,jul,2017
VARRICAO MECANIZADA,10.56,jul,2017
ALIM VENCIDOS,0.0,ago,2017
ANIMAIS,4.92,ago,2017
DIVERSOS,19300.43,ago,2017
DOMICILIAR,308302.2,ago,2017
ENTULHO APREENDIDO,7.86,ago,2017
ENTULHO MANUAL,5466.63,ago,2017
ENTULHO MECANIZADO,44615.45,ago,2017
ESGOTO,18033.45,ago,2017
FEIRA LIVRE,6734.78,ago,2017
GG SAUDE,2949.89,ago,2017
PG SAUDE,736.53,ago,2017
PODA,2664.92,ago,2017
REJEITO,0.0,ago,2017
REJEITO-CMT CMJ,1124.89,ago,2017
RESIDUOS DE BOCA DE LOBO,1590.21,ago,2017
RESIDUOS DE CORREGOS,8893.87,ago,2017
RESIDUOS DE ECOPONTO,33045.76,ago,2017
RESIDUOS DE PISCINAO,14106.98,ago,2017
SELETIVA,7383.82,ago,2017
VARRICAO,8387.21,ago,2017
VARRICAO MECANIZADA,10.19,ago,2017
ALIM VENCIDOS,0.0,set,2017
ANIMAIS,3.48,set,2017
DIVERSOS,17655.3,set,2017
DOMICILIAR,302219.17,set,2017
ENTULHO APREENDIDO,6.92,set,2017
ENTULHO MANUAL,4770.52,set,2017
ENTULHO MECANIZADO,39618.37,set,2017
ESGOTO,18253.1,set,2017
FEIRA LIVRE,7052.55,set,2017
GG SAUDE,2796.73,set,2017
PG SAUDE,699.35,set,2017
PODA,2237.27,set,2017
REJEITO,0.0,set,2017
REJEITO-CMT CMJ,1023.95,set,2017
RESIDUOS DE BOCA DE LOBO,1464.76,set,2017
RESIDUOS DE CORREGOS,9267.15,set,2017
RESIDUOS DE ECOPONTO,31778.24,set,2017
RESIDUOS DE PISCINAO,19738.0,set,2017
SELETIVA,7109.0,set,2017
VARRICAO,7325.92,set,2017
VARRICAO MECANIZADA,20.69,set,2017
ALIM VENCIDOS,0.0,out,2017
ANIMAIS,1.67,out,2017
DIVERSOS,18461.39,out,2017
DOMICILIAR,314020.21,out,2017
ENTULHO APREENDIDO,21.9,out,2017
ENTULHO MANUAL,4724.93,out,2017
ENTULHO MECANIZADO,41570.47,out,2017
ESGOTO,20871.05,out,2017
FEIRA LIVRE,6492.7,out,2017
GG SAUDE,2864.79,out,2017
PG SAUDE,724.81,out,2017
PODA,2587.43,out,2017
REJEITO,0.0,out,2017
REJEITO-CMT CMJ,1053.33,out,2017
RESIDUOS DE BOCA DE LOBO,926.12,out,2017
RESIDUOS DE CORREGOS,10631.92,out,2017
RESIDUOS DE ECOPONTO,31485.64,out,2017
RESIDUOS DE PISCINAO,22017.53,out,2017
SELETIVA,7303.19,out,2017
VARRICAO,6968.82,out,2017
VARRICAO MECANIZADA,144.82,out,2017
ALIM VENCIDOS,0.0,nov,2017
ANIMAIS,2.92,nov,2017
DIVERSOS,18534.13,nov,2017
DOMICILIAR,308167.3,nov,2017
ENTULHO APREENDIDO,26.17,nov,2017
ENTULHO MANUAL,4648.98,nov,2017
