TIPO DE RESIDUO,TONELADAS,MES,ANO
ALIM VENCIDOS,0.0,jan,2014
ANIMAIS,9.83,jan,2014
DIVERSOS,30114.6,jan,2014
DOMICILIAR,333611.67,jan,2014
ENTULHO APREENDIDO,,jan,2014
ENTULHO MANUAL,4027.01,jan,2014
ENTULHO MECANIZADO,76053.84,jan,2014
ESGOTO,15572.96,jan,2014
FEIRA LIVRE,6935.09,jan,2014
GG SAUDE,2688.45,jan,2014
PG SAUDE,503.77,jan,2014
PODA,4661.59,jan,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,jan,2014
RESIDUOS DE BOCA DE LOBO,743.55,jan,2014
RESIDUOS DE CORREGOS,8315.25,jan,2014
RESIDUOS DE PISCINAO,13907.33,jan,2014
SELETIVA,6076.78,jan,2014
VARRICAO,10802.29,jan,2014
ALIM VENCIDOS,7.44,fev,2014
ANIMAIS,7.07,fev,2014
DIVERSOS,26562.65,fev,2014
DOMICILIAR,297097.79,fev,2014
ENTULHO APREENDIDO,,fev,2014
ENTULHO MANUAL,3600.53,fev,2014
ENTULHO MECANIZADO,71028.51,fev,2014
ESGOTO,13860.12,fev,2014
FEIRA LIVRE,6523.24,fev,2014
GG SAUDE,2623.99,fev,2014
PG SAUDE,519.57,fev,2014
PODA,4074.36,fev,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,fev,2014
RESIDUOS DE BOCA DE LOBO,715.03,fev,2014
RESIDUOS DE CORREGOS,10701.45,fev,2014
RESIDUOS DE PISCINAO,17560.16,fev,2014
SELETIVA,5068.406,fev,2014
VARRICAO,10111.23,fev,2014
ALIM VENCIDOS,0.0,mar,2014
ANIMAIS,11.43,mar,2014
DIVERSOS,30160.02,mar,2014
DOMICILIAR,317402.41,mar,2014
ENTULHO APREENDIDO,,mar,2014
ENTULHO MANUAL,4314.61,mar,2014
ENTULHO MECANIZADO,70843.3,mar,2014
ESGOTO,15056.41,mar,2014
FEIRA LIVRE,7741.13,mar,2014
GG SAUDE,2831.45,mar,2014
PG SAUDE,550.89,mar,2014
PODA,4561.43,mar,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,mar,2014
RESIDUOS DE BOCA DE LOBO,856.61,mar,2014
RESIDUOS DE CORREGOS,14557.37,mar,2014
RESIDUOS DE PISCINAO,16358.58,mar,2014
SELETIVA,5130.4,mar,2014
VARRICAO,9858.09,mar,2014
ALIM VENCIDOS,0.0,abr,2014
ANIMAIS,6.66,abr,2014
DIVERSOS,28248.47,abr,2014
DOMICILIAR,310698.38,abr,2014
ENTULHO APREENDIDO,,abr,2014
ENTULHO MANUAL,4201.72,abr,2014
ENTULHO MECANIZADO,68193.26,abr,2014
ESGOTO,15387.09,abr,2014
FEIRA LIVRE,7636.01,abr,2014
GG SAUDE,2841.89,abr,2014
PG SAUDE,558.28,abr,2014
PODA,4376.19,abr,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,abr,2014
RESIDUOS DE BOCA DE LOBO,781.59,abr,2014
RESIDUOS DE CORREGOS,13271.45,abr,2014
RESIDUOS DE PISCINAO,16096.09,abr,2014
SELETIVA,4911.69,abr,2014
VARRICAO,8867.05,abr,2014
ALIM VENCIDOS,0.0,mai,2014
ANIMAIS,5.06,mai,2014
DIVERSOS,30649.29,mai,2014
DOMICILIAR,312264.8,mai,2014
ENTULHO APREENDIDO,,mai,2014
ENTULHO MANUAL,4644.95,mai,2014
ENTULHO MECANIZADO,71294.88,mai,2014
ESGOTO,15583.49,mai,2014
FEIRA LIVRE,7495.84,mai,2014
GG SAUDE,2930.28,mai,2014
PG SAUDE,570.23,mai,2014
PODA,4693.59,mai,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,mai,2014
RESIDUOS DE BOCA DE LOBO,923.67,mai,2014
RESIDUOS DE CORREGOS,13412.73,mai,2014
RESIDUOS DE PISCINAO,17198.33,mai,2014
SELETIVA,5230.24,mai,2014
VARRICAO,10247.55,mai,2014
ALIM VENCIDOS,0.0,jun,2014
ANIMAIS,5.59,jun,2014
DIVERSOS,25282.6,jun,2014
DOMICILIAR,294321.78,jun,2014
ENTULHO APREENDIDO,,jun,2014
ENTULHO MANUAL,3790.78,jun,2014
ENTULHO MECANIZADO,57912.91,jun,2014
ESGOTO,13073.86,jun,2014
FEIRA LIVRE,7818.5,jun,2014
GG SAUDE,2716.37,jun,2014
PG SAUDE,500.98,jun,2014
PODA,3774.75,jun,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,jun,2014
RESIDUOS DE BOCA DE LOBO,720.39,jun,2014
RESIDUOS DE CORREGOS,12538.35,jun,2014
RESIDUOS DE PISCINAO,15387.66,jun,2014
SELETIVA,4900.2,jun,2014
VARRICAO,8612.74,jun,2014
ALIM VENCIDOS,0.0,jul,2014
ANIMAIS,8.59,jul,2014
DIVERSOS,27395.86,jul,2014
DOMICILIAR,307274.45,jul,2014
ENTULHO APREENDIDO,,jul,2014
ENTULHO MANUAL,4376.38,jul,2014
ENTULHO MECANIZADO,65747.35,jul,2014
ESGOTO,16066.81,jul,2014
FEIRA LIVRE,7793.58,jul,2014
GG SAUDE,2854.94,jul,2014
PG SAUDE,561.83,jul,2014
PODA,3696.05,jul,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,jul,2014
RESIDUOS DE BOCA DE LOBO,840.57,jul,2014
RESIDUOS DE CORREGOS,13215.85,jul,2014
RESIDUOS DE PISCINAO,25809.1,jul,2014
SELETIVA,5155.63,jul,2014
VARRICAO,9732.06,jul,2014
ALIM VENCIDOS,0.05,ago,2014
ANIMAIS,7.23,ago,2014
DIVERSOS,28075.56,ago,2014
DOMICILIAR,306706.56,ago,2014
ENTULHO APREENDIDO,,ago,2014
ENTULHO MANUAL,4703.55,ago,2014
ENTULHO MECANIZADO,66959.19,ago,2014
ESGOTO,15093.24,ago,2014
FEIRA LIVRE,8722.15,ago,2014
GG SAUDE,2866.24,ago,2014
PG SAUDE,568.53,ago,2014
PODA,3427.4,ago,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,0.0,ago,2014
RESIDUOS DE BOCA DE LOBO,897.57,ago,2014
RESIDUOS DE CORREGOS,15403.88,ago,2014
RESIDUOS DE PISCINAO,16524.91,ago,2014
SELETIVA,5246.33,ago,2014
VARRICAO,9814.6,ago,2014
ALIM VENCIDOS,0.0,set,2014
ANIMAIS,6.67,set,2014
DIVERSOS,28397.32,set,2014
DOMICILIAR,325025.35,set,2014
ENTULHO APREENDIDO,,set,2014
ENTULHO MANUAL,4382.3,set,2014
ENTULHO MECANIZADO,65981.47,set,2014
ESGOTO,15677.08,set,2014
FEIRA LIVRE,8352.26,set,2014
GG SAUDE,2898.28,set,2014
PG SAUDE,583.34,set,2014
PODA,3304.81,set,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,103.89,set,2014
RESIDUOS DE BOCA DE LOBO,851.22,set,2014
RESIDUOS DE CORREGOS,15303.96,set,2014
RESIDUOS DE PISCINAO,19140.82,set,2014
SELETIVA,5503.16,set,2014
VARRICAO,10245.13,set,2014
ALIM VENCIDOS,0.0,out,2014
ANIMAIS,9.85,out,2014
DIVERSOS,26913.69,out,2014
DOMICILIAR,325737.07,out,2014
ENTULHO APREENDIDO,,out,2014
ENTULHO MANUAL,4258.09,out,2014
ENTULHO MECANIZADO,66388.17,out,2014
ESGOTO,15392.65,out,2014
FEIRA LIVRE,8162.52,out,2014
GG SAUDE,2947.63,out,2014
PG SAUDE,623.77,out,2014
PODA,3082.19,out,2014
REJEITO-CMT CAROLINA MARIA DE JESUS,237.06,out,2014
RESIDUOS DE BOCA DE LOBO,819.73,out,2014
RESIDUOS DE CORREGOS,13925.11,out,2014
RESIDUOS DE PISCINAO,17669.15,out,2014
SELETIVA,5908.2,out,2014
VARRICAO,10384.66,out,2014
ALIM VENCIDOS,1.83,nov,2014
ANIMAIS,7.78,nov,2014
DIVERSOS,25394.17,nov,2014
DOMICILIAR,308981.34,nov,2014
ENTULHO APREENDIDO,,nov,2014
ENTULHO MANUAL,3961.53,nov,2014
ENTULHO MECANIZADO,57414.43,nov,2014
ESGOTO,13872.4,nov,2014
